Gene_symbol_ENTREZ_ID	Effect_size	p_value	q_value
IL12RB1 (3594)	-0.887985521	1.03E-17	5.04E-16
PTPN22 (26191)	-0.887319407	4.28E-13	7.80E-12
SLAMF6 (114836)	-0.886694357	2.68E-14	6.05E-13
HMGN5 (79366)	-0.886479936	3.21E-09	2.75E-08
GNG7 (2788)	-0.882298741	1.33E-12	2.19E-11
VWCE (220001)	-0.880663284	6.49E-18	3.36E-16
VPREB1 (7441)	-0.87647079	3.33E-09	2.85E-08
SLA (6503)	-0.870936893	7.94E-12	1.12E-10
CEACAM21 (90273)	-0.869936729	3.25E-15	8.86E-14
CCR7 (1236)	-0.869172395	5.23E-13	9.31E-12
SLC2A5 (6518)	-0.864046582	1.63E-10	1.76E-09
ICAM3 (3385)	-0.860413368	1.03E-11	1.43E-10
CHI3L2 (1117)	-0.860324441	2.44E-08	1.78E-07
NFATC1 (4772)	-0.859945853	6.60E-14	1.40E-12
PCOLCE (5118)	-0.856592371	8.66E-07	4.63E-06
TUBA1A (7846)	-0.856100342	3.60E-05	0.000137823
PSTPIP1 (9051)	-0.855571533	2.20E-14	5.05E-13
INKA1 (389119)	-0.855290861	3.30E-14	7.32E-13
N4BP2L1 (90634)	-0.853878729	1.02E-12	1.73E-11
LCK (3932)	-0.853267073	2.58E-07	1.54E-06
FMNL1 (752)	-0.853146012	1.78E-07	1.10E-06
RUBCNL (80183)	-0.853142773	2.85E-09	2.46E-08
SYT11 (23208)	-0.850169233	2.86E-07	1.69E-06
EMP3 (2014)	-0.849918312	0.000110659	0.000382876
CD27 (939)	-0.848455758	4.01E-13	7.40E-12
ARMH1 (339541)	-0.848426971	4.76E-08	3.29E-07
TNFRSF13C (115650)	-0.84716721	1.71E-16	6.26E-15
KBTBD8 (84541)	-0.846855316	1.40E-21	1.83E-19
GSTM2 (2946)	-0.843432302	1.61E-06	8.20E-06
LTA (4049)	-0.842170007	6.95E-13	1.21E-11
ADGRA2 (25960)	-0.841605254	2.13E-08	1.57E-07
GLRX (2745)	-0.840167866	4.94E-08	3.40E-07
KCNAB2 (8514)	-0.835392229	6.16E-08	4.15E-07
TAGAP (117289)	-0.833260527	1.36E-16	5.10E-15
CD247 (919)	-0.832272609	7.13E-12	1.01E-10
FGR (2268)	-0.830779168	6.64E-11	7.80E-10
ANKRD44 (91526)	-0.828079382	4.94E-15	1.30E-13
KDM5D (8284)	-0.827392284	7.20E-08	4.78E-07
MEF2B (100271849)	-0.8221996	6.33E-10	6.17E-09
PLCXD1 (55344)	-0.821860437	2.80E-14	6.30E-13
TMEM131L (23240)	-0.821488131	6.18E-15	1.60E-13
DGLUCY (80017)	-0.821219835	5.36E-14	1.16E-12
SPNS3 (201305)	-0.820322033	6.05E-10	5.92E-09
EDA2R (60401)	-0.815513169	8.90E-12	1.25E-10
CD22 (933)	-0.815065678	3.57E-05	0.000136891
STAC3 (246329)	-0.812456185	1.75E-14	4.12E-13
SLAIN1 (122060)	-0.812089664	2.00E-06	1.00E-05
TLE4 (7091)	-0.8115258	6.80E-08	4.53E-07
AFF3 (3899)	-0.81036141	1.29E-11	1.74E-10
ARPP21 (10777)	-0.808197082	5.68E-11	6.73E-10
GREM1 (26585)	-0.807944843	0.000786079	0.002232413
ARHGAP25 (9938)	-0.804640799	8.64E-10	8.26E-09
GRAPL (400581)	-0.803500548	1.16E-15	3.50E-14
SPON2 (10417)	-0.8009117	2.89E-06	1.40E-05
RGS16 (6004)	-0.799754363	5.70E-07	3.16E-06
HSPB6 (126393)	-0.796837836	6.01E-06	2.72E-05
TMEM119 (338773)	-0.795824753	8.00E-09	6.39E-08
IFI16 (3428)	-0.788901869	0.000329113	0.001019834
HLA-DMA (3108)	-0.785984008	9.10E-07	4.85E-06
TESC (54997)	-0.780216123	9.28E-05	0.000326634
BMP2K (55589)	-0.780110909	6.06E-23	1.12E-20
GSTM1 (2944)	-0.779785633	0.000102366	0.000356956
PLCL2 (23228)	-0.779604884	5.52E-12	8.05E-11
ADAMTS10 (81794)	-0.776602993	9.78E-08	6.34E-07
MDM2 (4193)	-0.776532811	1.42E-17	6.73E-16
NLRP1 (22861)	-0.775228695	3.82E-06	1.80E-05
MAPRE2 (10982)	-0.774506172	2.66E-11	3.36E-10
ZCCHC7 (84186)	-0.774004394	6.33E-18	3.29E-16
BGN (633)	-0.773939723	0.000369988	0.001133833
DCK (1633)	-0.772701103	2.66E-25	9.44E-23
APOBEC3D (140564)	-0.769012638	1.09E-15	3.30E-14
PLD4 (122618)	-0.76769934	1.19E-09	1.11E-08
RCBTB2 (1102)	-0.765501518	3.38E-16	1.19E-14
FGF7 (2252)	-0.763850691	4.70E-07	2.67E-06
APOBEC3C (27350)	-0.763071783	3.32E-07	1.94E-06
SYNGAP1 (8831)	-0.762913156	3.45E-16	1.20E-14
P2RY11 (5032)	-0.762830546	3.62E-17	1.55E-15
GPR18 (2841)	-0.762725215	6.03E-14	1.29E-12
CCDC28B (79140)	-0.762289711	2.63E-11	3.31E-10
BCL7A (605)	-0.761528388	3.50E-12	5.30E-11
DOK2 (9046)	-0.759767453	7.00E-11	8.13E-10
TCF3 (6929)	-0.759292205	5.93E-18	3.13E-16
NRN1 (51299)	-0.754371287	0.000102918	0.000358687
CLEC2D (29121)	-0.750613428	1.10E-08	8.54E-08
DNTT (1791)	-0.750609875	5.05E-07	2.84E-06
GRK3 (157)	-0.749510258	3.14E-11	3.90E-10
PTGIR (5739)	-0.749296507	8.19E-16	2.57E-14
CD33 (945)	-0.748994924	3.29E-08	2.34E-07
SLAMF1 (6504)	-0.748882337	2.16E-11	2.78E-10
NLRC5 (84166)	-0.747502286	4.24E-08	2.96E-07
CXXC1 (30827)	-0.746916347	8.13E-25	2.55E-22
MEI1 (150365)	-0.746644333	4.69E-12	6.92E-11
EDEM1 (9695)	-0.745451897	4.76E-17	1.98E-15
MEX3B (84206)	-0.745251999	8.13E-12	1.14E-10
HGF (3082)	-0.74510203	6.99E-06	3.12E-05
PPM1K (152926)	-0.743988917	2.22E-13	4.31E-12
ATG16L2 (89849)	-0.742191408	7.30E-14	1.54E-12
DLG4 (1742)	-0.741378455	1.73E-08	1.30E-07
INPP5B (3633)	-0.74080248	5.67E-26	2.36E-23
EFEMP2 (30008)	-0.739982647	0.000124465	0.000425798
PPM1M (132160)	-0.739640695	1.83E-17	8.45E-16
LDHB (3945)	-0.738946834	9.50E-06	4.13E-05
CCND2 (894)	-0.736405786	2.03E-05	8.21E-05
ZNF671 (79891)	-0.736152462	2.58E-14	5.86E-13
LIMS2 (55679)	-0.735501595	1.92E-06	9.66E-06
GIMAP2 (26157)	-0.73364828	2.42E-08	1.77E-07
SETDB2 (83852)	-0.733606378	8.96E-23	1.59E-20
PDE4A (5141)	-0.733080389	4.98E-12	7.31E-11
ZC4H2 (55906)	-0.732155984	2.20E-07	1.33E-06
SLC2A3 (6515)	-0.73209141	0.000160024	0.00053371
TOP2B (7155)	-0.731998927	5.55E-19	3.64E-17
GFI1 (2672)	-0.731448475	2.42E-07	1.45E-06
HMGB2 (3148)	-0.731320928	4.66E-15	1.24E-13
SELL (6402)	-0.731209577	5.90E-08	3.99E-07
CD3D (915)	-0.730519491	6.02E-07	3.32E-06
DDHD1 (80821)	-0.728174577	8.05E-23	1.44E-20
HMBOX1 (79618)	-0.726971243	8.91E-27	4.38E-24
SMIM24 (284422)	-0.724454159	5.17E-06	2.37E-05
TLR10 (81793)	-0.724186721	7.11E-12	1.01E-10
TIFA (92610)	-0.722684612	7.27E-14	1.54E-12
RPS27L (51065)	-0.72206375	2.92E-13	5.55E-12
CCL3 (6348)	-0.71975421	1.09E-06	5.70E-06
SP140 (11262)	-0.717656337	1.79E-09	1.61E-08
PHACTR1 (221692)	-0.717094476	1.03E-06	5.42E-06
GAMT (2593)	-0.716522701	6.07E-07	3.34E-06
SMARCA2 (6595)	-0.713966791	2.05E-09	1.83E-08
DYRK3 (8444)	-0.713896718	6.40E-12	9.19E-11
JADE1 (79960)	-0.713889987	1.85E-25	6.94E-23
LY9 (4063)	-0.713177587	1.56E-10	1.70E-09
RPL34 (6164)	-0.712887879	3.04E-34	1.56E-30
HSPB7 (27129)	-0.712778651	1.28E-06	6.64E-06
PRRX1 (5396)	-0.712223888	0.000268448	0.00084945
PLEKHO2 (80301)	-0.711768246	2.87E-14	6.43E-13
MSN (4478)	-0.711436827	0.000457258	0.001368199
PCDH18 (54510)	-0.711151141	5.05E-06	2.32E-05
POLH (5429)	-0.711059043	2.78E-26	1.18E-23
PINLYP (390940)	-0.710596782	3.98E-09	3.35E-08
RPL17 (6139)	-0.710184753	3.27E-34	1.56E-30
POSTN (10631)	-0.70963193	0.002438004	0.006162284
PAG1 (55824)	-0.70755997	1.46E-08	1.11E-07
FADS2 (9415)	-0.706987705	0.000235887	0.000755787
CTSK (1513)	-0.706373565	4.24E-07	2.43E-06
PLAGL1 (5325)	-0.706230349	1.43E-05	5.99E-05
SYNE3 (161176)	-0.705448002	1.20E-10	1.33E-09
BLNK (29760)	-0.705052504	2.32E-05	9.28E-05
SMAD4 (4089)	-0.703734794	4.08E-15	1.10E-13
TNFAIP8 (25816)	-0.70095696	1.31E-10	1.43E-09
AFF2 (2334)	-0.700486691	8.69E-12	1.22E-10
IKZF3 (22806)	-0.69875249	2.74E-08	1.98E-07
ZNF85 (7639)	-0.698455962	1.10E-08	8.54E-08
C16orf54 (283897)	-0.694313746	5.01E-12	7.35E-11
ADAMTS2 (9509)	-0.694074363	1.07E-05	4.61E-05
SIGLEC10 (89790)	-0.692827744	2.58E-14	5.84E-13
RGS4 (5999)	-0.692743439	0.002324459	0.005907268
TRANK1 (9881)	-0.692025692	1.38E-09	1.27E-08
PDGFRA (5156)	-0.691824091	4.04E-05	0.000153121
FBN1 (2200)	-0.691730989	0.003565621	0.008642727
RILPL2 (196383)	-0.691264186	5.47E-20	4.49E-18
CORO7 (79585)	-0.689461815	7.90E-16	2.49E-14
RCBTB1 (55213)	-0.687291142	1.47E-20	1.40E-18
BDH2 (56898)	-0.685182429	1.81E-13	3.56E-12
TTC24 (164118)	-0.68511413	1.22E-11	1.66E-10
USP9Y (8287)	-0.684113187	1.57E-06	8.02E-06
ADA (100)	-0.682781903	9.59E-07	5.09E-06
TNFRSF17 (608)	-0.681558773	2.21E-06	1.09E-05
RGS1 (5996)	-0.678540928	4.95E-06	2.28E-05
SERPINF1 (5176)	-0.678450322	9.16E-05	0.000323174
SACS (26278)	-0.67721778	4.50E-13	8.15E-12
ARID5A (10865)	-0.676727641	3.12E-10	3.20E-09
PDXP (57026)	-0.676678928	4.96E-14	1.07E-12
LTB (4050)	-0.675061794	0.000121077	0.000415394
RASSF1 (11186)	-0.675024707	7.56E-22	1.09E-19
HLA-DQB1 (3119)	-0.674344549	0.000546574	0.001608056
TMEM204 (79652)	-0.673885204	4.86E-11	5.83E-10
ARL11 (115761)	-0.673595834	3.34E-10	3.41E-09
CCDC136 (64753)	-0.673452946	8.02E-08	5.27E-07
ZC3H12D (340152)	-0.673446145	3.01E-14	6.72E-13
HIC1 (3090)	-0.672042379	7.16E-11	8.28E-10
IL9R (3581)	-0.671912157	3.78E-11	4.64E-10
PRSS57 (400668)	-0.671150527	6.21E-08	4.19E-07
C12orf75 (387882)	-0.670506842	4.13E-05	0.000156315
ARHGAP19 (84986)	-0.670428728	1.52E-16	5.64E-15
SESN1 (27244)	-0.669196565	2.62E-16	9.39E-15
SAP30 (8819)	-0.668761359	2.45E-15	6.85E-14
ZMAT3 (64393)	-0.6680044	3.91E-14	8.54E-13
PIK3R5 (23533)	-0.667888313	9.72E-11	1.09E-09
CHAC1 (79094)	-0.667442294	5.42E-08	3.70E-07
MYO1F (4542)	-0.666663229	2.29E-07	1.38E-06
TMX3 (54495)	-0.665020946	2.93E-16	1.04E-14
ASMTL (8623)	-0.663311265	8.20E-16	2.57E-14
KLF13 (51621)	-0.661209348	2.44E-11	3.11E-10
